@RELATION feature_mfcc

@ATTRIBUTE 1	NUMERIC
@ATTRIBUTE 2	NUMERIC
@ATTRIBUTE 3	NUMERIC
@ATTRIBUTE 4	NUMERIC
@ATTRIBUTE 5	NUMERIC
@ATTRIBUTE 6	NUMERIC
@ATTRIBUTE 7	NUMERIC
@ATTRIBUTE 8	NUMERIC
@ATTRIBUTE 9	NUMERIC
@ATTRIBUTE 10	NUMERIC
@ATTRIBUTE 11	NUMERIC
@ATTRIBUTE 12	NUMERIC
@ATTRIBUTE 13	NUMERIC
@ATTRIBUTE 14	NUMERIC
@ATTRIBUTE 15	NUMERIC
@ATTRIBUTE 16	NUMERIC
@ATTRIBUTE 17	NUMERIC
@ATTRIBUTE 18	NUMERIC
@ATTRIBUTE 19	NUMERIC
@ATTRIBUTE 20	NUMERIC
@ATTRIBUTE 21	NUMERIC
@ATTRIBUTE 22	NUMERIC
@ATTRIBUTE 23	NUMERIC
@ATTRIBUTE 24	NUMERIC
@ATTRIBUTE 25	NUMERIC
@ATTRIBUTE 26	NUMERIC
@ATTRIBUTE 27	NUMERIC
@ATTRIBUTE 28	NUMERIC
@ATTRIBUTE 29	NUMERIC
@ATTRIBUTE 30	NUMERIC

@ATTRIBUTE class 		 {X1,X2} 
@DATA
3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,3.628447e-04,1.850682e-08,1.289831e-06,5.418110e-06,3.234942e-07,6.347683e-07,3.242424e-06,1.158947e-06,3.334223e-07,5.571160e-07,3.309996e-07,1.058705e-07,9.722216e-08,1.240454e-07,4.940319e-06,5.004750e-07,X1
5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,5.649718e-03,4.329227e-06,5.906671e-06,4.378644e-04,8.451747e-04,1.005908e-04,4.653831e-05,1.167018e-05,1.188207e-03,5.681856e-05,2.098319e-05,1.905066e-04,6.609927e-05,1.951547e-04,1.199670e-03,1.435690e-04,X1
4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,4.310345e-04,1.530878e-08,6.009366e-06,3.047052e-05,6.476548e-06,4.078158e-06,4.186212e-07,2.854108e-07,3.035106e-07,2.232254e-07,8.875648e-06,7.346660e-08,4.921634e-08,8.959326e-08,1.571732e-07,6.866565e-07,X1
3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,3.346720e-04,1.664272e-08,1.973859e-06,4.151414e-07,1.544244e-06,1.351255e-07,1.075535e-07,4.820138e-07,1.317286e-06,4.501884e-07,1.944347e-04,9.555635e-08,6.031209e-08,1.548923e-07,3.361175e-07,2.380499e-07,X1
7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,7.077141e-04,4.805156e-08,5.505221e-06,3.704777e-07,1.445881e-07,3.072496e-06,8.191697e-07,1.995190e-07,2.487692e-07,4.238869e-07,1.170578e-06,8.738206e-07,1.490484e-07,8.600320e-07,1.816633e-05,6.049749e-07,X1
4.882812e-04,4.882813e-04,4.882813e-04,4.882813e-04,4.882812e-04,4.882812e-04,4.882812e-04,4.882812e-04,4.882812e-04,4.882813e-04,4.882813e-04,4.882812e-04,4.882813e-04,4.882812e-04,4.882812e-04,2.362089e-08,9.018016e-07,3.360194e-06,2.914895e-05,1.218997e-06,1.336810e-05,7.369720e-07,2.808656e-07,3.789787e-07,1.003260e-07,7.593956e-08,1.424200e-07,4.564955e-07,1.600597e-05,6.558805e-06,X1
5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,5.797101e-04,1.222559e-07,1.179233e-05,1.862991e-06,1.672940e-05,2.483522e-07,2.178644e-07,2.037305e-06,4.436511e-05,2.469294e-06,7.216105e-06,2.707386e-07,2.373267e-07,6.513562e-07,1.627501e-06,2.841945e-06,X1
4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,4.020909e-04,1.830867e-08,3.280704e-06,4.768896e-06,6.646373e-06,3.085016e-07,1.608692e-07,1.369302e-07,2.024177e-07,2.822907e-07,4.232713e-04,1.364279e-07,6.075277e-08,1.075046e-07,2.209209e-07,5.478479e-07,X1
2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,2.890173e-04,1.776074e-08,3.729390e-07,3.828189e-06,1.125894e-07,5.152296e-08,4.052315e-08,4.829725e-08,2.580538e-07,3.388645e-06,5.158364e-08,3.055237e-08,2.568825e-08,2.363472e-08,5.198192e-07,6.510773e-08,X1
3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,3.690037e-03,2.301818e-06,4.985489e-06,5.906145e-04,1.298697e-05,2.735792e-05,6.149136e-06,1.500406e-05,2.884736e-04,8.852756e-03,6.777461e-06,5.066066e-06,3.681805e-05,1.249945e-05,1.366412e-05,3.925820e-06,X1
